Miercuri,18-20,       ,L534   ,936/1,Laborator,Programare paralela si distribuita                 ,GHEORGHICA Radu
Joi     ,10-12,sapt. 2,L336   ,936  ,Laborator,Realitate virtuala                                 ,BOIAN Rares
Joi     ,12-14,sapt. 2,L306   ,936  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Vineri  ,16-18,       ,L339   ,936/2,Laborator,Programare paralela si distribuita                 ,SZEDERJESI-DRAGOMIR Arnold
Luni    ,18-20,sapt. 2,L306   ,937/1,Laborator,Programare pentru dispozitive mobile               ,BARABAS Attila
Luni    ,18-20,sapt. 1,L336   ,937/2,Laborator,Programare pentru dispozitive mobile               ,BARABAS Attila
Marti   ,10-12,sapt. 1,L338   ,937  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,12-14,       ,L301   ,937/1,Laborator,Limbaje formale si tehnici de compilare            ,PETRASCU Vladiela
Miercuri,10-12,       ,C510   ,937  ,Seminar  ,Limbaje formale si tehnici de compilare            ,PETRASCU Vladiela
Miercuri,12-14,       ,L002   ,937/2,Laborator,Programare paralela si distribuita                 ,GHEORGHICA Radu
Miercuri,16-18,       ,L002   ,937/1,Laborator,Programare paralela si distribuita                 ,GHEORGHICA Radu
Joi     ,10-12,sapt. 2,L001   ,937  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,12-14,sapt. 1,L302   ,937  ,Laborator,Realitate virtuala                                 ,BOIAN Rares
Joi     ,14-16,       ,L301   ,937/2,Laborator,Limbaje formale si tehnici de compilare            ,PETRASCU Vladiela
Joi     ,18-20,sapt. 2,L336   ,937  ,Laborator,Criptografie cu cheie publica                      ,Zecua G
Vineri  ,12-14,sapt. 2,L001   ,937  ,Seminar  ,Programare paralela si distribuita                 ,LUPSA Radu
